tiempo,Costo,PrecioOfertaProm,NroTipoOfertas,Marca,CantOfertas,MaxDescuento%,minDescuento%,FactordeDescuentos,FlagCampana,TieneUbicacionEspecifica,UnidadesDemandas
2005-03-02,43.22,22.9,1,B,1,0.48723404299999995,0.0,0.0,0,0,377.0
2005-04-02,102.72,26.9,1,D,1,0.455932203,0.0,0.0,0,0,463.0
2005-05-02,89.95,45.0,2,C,2,0.64875,0.0,0.0,0,0,450.0
2005-06-02,106.19,13.9,1,D,1,0.49642857100000004,0.0,0.0,0,0,467.0
2005-07-02,12.17,84.0,1,A,1,0.736842105,0.0,0.0,0,0,250.0
2005-08-02,34.66,21.9,1,B,1,0.6441176470000001,0.0,0.0,0,0,355.0
2005-09-02,27.9,85.4,2,A,2,0.510795455,0.0,0.0,0,0,333.0
2005-10-02,185.68,23.9,2,B,1,0.65,0.389130435,0.252934783,0,0,522.0
2005-11-02,39.84,49.9,1,B,1,0.665333333,0.0,0.0,0,0,368.0
2005-12-02,25.2,49.9,1,A,1,0.63164557,0.0,0.0,0,0,323.0
2005-02-13,32.03,63.95,2,B,1,0.7008547009999999,0.39230769200000004,0.27495069,0,0,347.0
2005-02-14,23.28,62.9,1,A,1,0.546956522,0.0,0.0,0,0,315.0
2005-02-15,100.07,29.9,1,D,1,0.46,0.0,0.0,0,0,461.0
2005-02-16,74.53,54.9,1,C,1,0.49909090899999997,0.0,0.0,0,0,431.0
2005-02-17,23.7,31.9,1,A,1,0.55,0.0,0.0,0,0,317.0
2005-02-18,26.5,88.45,2,A,1,0.643678161,0.372988506,0.240084555,0,0,328.0
2005-02-19,39.97,23.95,1,B,1,0.498958333,0.0,0.0,0,0,369.0
2005-02-20,7.9,129.9,1,A,1,0.721666667,0.0,0.0,0,0,207.0
2005-02-21,109.47,28.9,1,D,1,0.498275862,0.0,0.0,0,0,470.0
2005-02-22,53.87,33.95,1,B,1,0.499264706,0.0,0.0,0,0,399.0
2005-02-23,14.56,72.9,1,A,1,0.502758621,0.0,0.0,0,0,268.0
2005-02-24,34.87,39.9,1,B,1,0.665,0.0,0.0,0,0,355.0
2005-02-25,79.96,34.4,2,C,1,0.65,0.39242424200000003,0.255075758,0,0,438.0
2005-02-26,23.8,47.9,1,A,1,0.606329114,0.0,0.0,0,0,317.0
2005-02-27,4.47,125.0,1,A,1,0.702247191,0.0,0.0,0,0,150.0
2005-02-28,125.63,62.0,2,D,1,0.649166667,0.388583333,0.252255347,0,0,483.0
2005-01-03,18.97,47.9,1,A,1,0.614102564,0.0,0.0,0,0,294.0
2005-02-03,17.52,46.9,1,A,1,0.651388889,0.0,0.0,0,0,286.0
2005-03-03,11.75,53.9,1,A,1,0.64939759,0.0,0.0,0,0,246.0
2005-04-03,25.73,67.9,1,A,1,0.652884615,0.0,0.0,0,0,325.0
2005-05-03,6.32,119.0,1,A,1,0.7,0.0,0.0,0,0,184.0
2005-06-03,42.38,54.9,1,B,2,0.645882353,0.0,0.0,0,0,375.0
2005-07-03,69.27,14.9,1,B,1,0.5137931029999999,0.0,0.0,0,0,424.0
2005-08-03,19.49,49.9,1,A,1,0.7128571429999999,0.0,0.0,0,0,297.0
2005-09-03,20.64,53.9,1,A,1,0.64939759,0.0,0.0,0,0,303.0
2005-10-03,16.79,41.9,1,A,1,0.558666667,0.0,0.0,0,0,282.0
2005-11-03,48.21,15.9,1,B,1,0.467647059,0.0,0.0,0,0,388.0
2005-12-03,53.62,39.9,1,B,1,0.613846154,0.0,0.0,0,0,398.0
2005-03-13,13.82,119.0,1,A,1,0.7,0.0,0.0,0,0,263.0
2005-03-14,58.86,41.9,2,B,1,0.656962025,0.403797468,0.26527960300000003,0,0,408.0
2005-03-15,14.56,53.9,1,A,1,0.64939759,0.0,0.0,0,0,268.0
2005-03-16,30.64,21.9,1,A,1,0.6441176470000001,0.0,0.0,0,0,342.0
2005-03-17,65.67,36.9,2,B,1,0.651388889,0.373611111,0.243366127,0,0,418.0
2005-03-18,41.0,38.9,1,B,1,0.648333333,0.0,0.0,0,0,371.0
2005-03-19,40.6,44.9,1,B,1,0.6414285710000001,0.0,0.0,0,0,370.0
2005-03-20,24.84,31.9,1,A,1,0.6645833329999999,0.0,0.0,0,0,321.0
2005-03-21,46.24,44.9,1,B,1,0.598666667,0.0,0.0,0,0,383.0
2005-03-22,25.4,49.9,1,A,1,0.7128571429999999,0.0,0.0,0,0,323.0
2005-03-23,110.06,15.9,1,D,1,0.467647059,0.0,0.0,0,0,470.0
2005-03-24,41.21,34.9,1,B,1,0.6122807020000001,0.0,0.0,0,0,372.0
2005-03-25,16.55,41.9,1,A,1,0.644615385,0.0,0.0,0,0,281.0
2005-03-26,47.6,14.9,1,B,1,0.5321428570000001,0.0,0.0,0,0,386.0
2005-03-27,122.41,29.9,2,D,1,0.636206897,0.394827586,0.251192033,0,0,481.0
2005-03-28,60.8,24.4,2,B,1,0.636170213,0.40212766,0.255821639,0,0,411.0
2005-03-29,99.43,59.9,1,C,1,0.499166667,0.0,0.0,0,0,460.0
2005-03-30,5.39,111.0,1,A,1,0.702531646,0.0,0.0,0,0,168.0
2005-03-31,66.2,25.9,1,B,1,0.588636364,0.0,0.0,0,0,419.0
2005-02-04,81.12,14.9,1,C,1,0.5137931029999999,0.0,0.0,0,0,440.0
2005-03-04,92.6,14.7,2,C,1,0.526470588,0.33823529399999996,0.178070934,0,0,453.0
2005-04-04,36.7,16.9,1,B,1,0.6035714289999999,0.0,0.0,0,0,360.0
2005-05-04,181.1,29.9,1,B,1,0.378481013,0.0,0.0,0,0,520.0
2005-06-04,30.72,52.9,1,A,1,0.645121951,0.0,0.0,0,0,343.0
2005-07-04,119.86,38.4,2,D,1,0.5936708860000001,0.378481013,0.224693158,0,0,479.0
2005-08-04,6.63,119.0,1,A,1,0.7,0.0,0.0,0,0,189.0
2005-09-04,50.3,78.0,2,B,1,0.5808139529999999,0.33133720899999997,0.19244527399999997,0,0,392.0
2005-10-04,23.69,79.9,1,A,1,0.547260274,0.0,0.0,0,0,316.0
2005-11-04,28.6,89.0,1,A,1,0.5,0.0,0.0,0,0,335.0
2005-12-04,24.94,34.9,1,A,1,0.646296296,0.0,0.0,0,0,322.0
2005-04-13,34.04,84.9,1,B,1,0.5815068489999999,0.0,0.0,0,0,353.0
2005-04-14,75.01,89.94,2,C,1,0.685142857,0.342742857,0.23482782,0,0,432.0
2005-04-15,62.27,34.9,1,B,0,0.425609756,0.425609756,0.0,1,0,413.0
2005-04-16,11.4,119.9,1,A,1,0.685142857,0.0,0.0,0,0,244.0
2005-04-17,19.72,74.0,1,A,1,0.528571429,0.0,0.0,0,0,298.0
2005-04-18,39.41,89.0,1,B,1,0.508571429,0.0,0.0,0,0,367.0
2005-04-19,17.03,22.9,1,A,1,0.6361111110000001,0.0,0.0,0,0,283.0
2005-04-20,106.33,34.9,1,D,1,0.46533333299999996,0.0,0.0,0,0,467.0
2005-04-21,212.9,36.0,2,C,1,0.598666667,0.35266666700000004,0.21112977800000002,0,0,536.0
2005-04-22,20.98,46.9,1,A,1,0.651388889,0.0,0.0,0,0,304.0
2005-04-23,49.49,54.9,1,B,1,0.669512195,0.0,0.0,0,0,390.0
2005-04-24,80.43,32.9,1,C,1,0.548333333,0.0,0.0,0,0,439.0
2005-04-25,86.69,31.0,2,C,2,0.5672413789999999,0.0,0.0,0,0,446.0
2005-04-26,37.0,19.9,1,B,1,0.663333333,0.0,0.0,0,0,361.0
2005-04-27,8.94,124.0,1,A,1,0.696629213,0.0,0.0,0,0,219.0
2005-04-28,7.14,124.0,1,A,1,0.696629213,0.0,0.0,0,0,197.0
2005-04-29,90.85,36.9,2,C,1,0.651388889,0.373611111,0.243366127,0,0,451.0
2005-04-30,45.06,43.0,2,B,2,0.665333333,0.0,0.0,0,0,381.0
2005-01-05,29.97,32.9,1,A,1,0.557627119,0.0,0.0,0,0,340.0
2005-02-05,16.3,46.9,1,A,1,0.651388889,0.0,0.0,0,0,279.0
2005-03-05,6.24,124.0,1,A,1,0.696629213,0.0,0.0,0,0,183.0
2005-04-05,27.31,39.9,1,A,1,0.665,0.0,0.0,0,0,331.0
2005-05-05,21.47,69.9,1,A,1,0.466,0.0,0.0,0,0,307.0
2005-06-05,28.64,32.9,1,A,1,0.632692308,0.0,0.0,0,0,335.0
2005-07-05,10.54,125.0,1,A,1,0.702247191,0.0,0.0,0,0,235.0
2005-08-05,27.11,21.9,1,A,1,0.6441176470000001,0.0,0.0,0,0,330.0
2005-09-05,35.93,15.9,1,B,1,0.548275862,0.0,0.0,0,0,358.0
2005-10-05,53.08,17.9,1,B,1,0.639285714,0.0,0.0,0,0,397.0
2005-11-05,95.24,41.9,2,C,1,0.656962025,0.403797468,0.26527960300000003,0,0,456.0
2005-12-05,108.29,36.9,1,D,1,0.46125,0.0,0.0,0,0,468.0
2005-05-13,98.72,13.9,2,C,1,0.582758621,0.37586206899999997,0.21903686100000003,0,0,459.0
2005-05-14,28.91,34.9,1,A,1,0.6232142860000001,0.0,0.0,0,0,336.0
2005-05-15,46.48,73.45,2,B,1,0.671428571,0.37785714299999995,0.253704082,0,0,384.0
2005-05-16,95.09,26.9,1,C,1,0.49814814799999996,0.0,0.0,0,0,455.0
2005-05-17,97.73,36.4,2,C,1,0.6375,0.373611111,0.238177083,0,0,458.0
2005-05-18,14.0,113.0,1,A,2,0.70625,0.0,0.0,0,0,264.0
2005-05-19,81.8,30.9,2,C,1,0.57,0.312857143,0.17832857100000002,0,0,440.0
2005-05-20,22.65,94.9,1,A,1,0.65,0.0,0.0,0,0,312.0
2005-05-21,77.53,44.9,1,C,1,0.547560976,0.0,0.0,0,0,435.0
2005-05-22,132.51,29.9,2,D,1,0.647368421,0.401754386,0.260083102,0,0,489.0
2005-05-23,120.83,29.9,1,D,1,0.46,0.0,0.0,0,0,479.0
2005-05-24,46.23,79.9,1,B,1,0.654918033,0.0,0.0,0,0,383.0
2005-05-25,81.49,35.9,1,C,1,0.498611111,0.0,0.0,0,0,440.0
2005-05-26,71.08,15.9,1,C,1,0.567857143,0.0,0.0,0,0,426.0
2005-05-27,51.35,39.9,1,B,1,0.49875,0.0,0.0,0,0,394.0
2005-05-28,11.53,72.0,1,A,1,0.6315789470000001,0.0,0.0,0,0,245.0
2005-05-29,21.61,29.9,1,A,1,0.636170213,0.0,0.0,0,0,307.0
2005-05-30,43.59,54.9,1,B,1,0.47739130399999996,0.0,0.0,0,0,377.0
2005-05-31,26.25,39.9,1,A,1,0.665,0.0,0.0,0,0,327.0
2005-01-06,22.38,85.0,1,A,1,0.5,0.0,0.0,0,0,311.0
2005-02-06,36.81,39.9,1,B,1,0.49875,0.0,0.0,0,0,361.0
2005-03-06,120.97,29.9,2,D,1,0.636206897,0.394827586,0.251192033,0,0,480.0
2005-04-06,21.4,79.9,1,A,1,0.551034483,0.0,0.0,0,0,306.0
2005-05-06,142.6,32.9,2,A,1,0.6128571429999999,0.327142857,0.200491837,0,0,496.0
2005-06-06,110.55,21.9,1,D,1,0.49772727299999997,0.0,0.0,0,0,471.0
2005-07-06,17.92,25.9,1,A,1,0.563043478,0.0,0.0,0,0,289.0
2005-08-06,49.22,31.9,1,B,1,0.455714286,0.0,0.0,0,0,390.0
2005-09-06,79.9,29.34,3,C,1,0.643548387,0.40161290299999997,0.25845733600000004,0,0,438.0
2005-10-06,64.09,16.0,2,B,2,0.582758621,0.0,0.0,0,0,416.0
2005-11-06,17.61,41.9,1,A,1,0.698333333,0.0,0.0,0,0,287.0
2005-12-06,37.4,52.9,1,B,1,0.645121951,0.0,0.0,0,0,362.0
2005-06-13,76.35,86.95,2,C,2,0.622857143,0.37085714299999994,0.23099102,0,0,434.0
2005-06-14,89.44,33.0,2,C,1,0.5985714289999999,0.356428571,0.21334795899999998,0,0,449.0
2005-06-15,15.07,99.0,1,A,1,0.6971830990000001,0.0,0.0,0,0,271.0
2005-06-16,35.59,42.9,1,B,1,0.55,0.0,0.0,0,0,357.0
2005-06-17,6.0,110.0,1,A,1,0.696202532,0.0,0.0,0,0,179.0
2005-06-18,21.49,34.9,1,A,1,0.646296296,0.0,0.0,0,0,307.0
2005-06-19,36.4,45.9,1,B,1,0.612,0.0,0.0,0,0,359.0
2005-06-20,86.33,32.9,2,C,1,0.546575342,0.35479452100000003,0.193921937,0,0,446.0
2005-06-21,101.98,26.4,2,D,1,0.5875,0.355357143,0.208772321,0,0,462.0
2005-06-22,45.29,55.95,2,B,1,0.6315789470000001,0.35,0.221052632,0,0,381.0
2005-06-23,22.74,32.9,1,A,1,0.609259259,0.0,0.0,0,0,312.0
2005-06-24,33.94,95.0,1,B,1,0.5,0.0,0.0,0,0,352.0
2005-06-25,96.91,36.9,2,C,1,0.651388889,0.373611111,0.243366127,0,0,457.0
2005-06-26,108.69,39.95,1,D,1,0.48719512200000004,0.0,0.0,0,0,469.0
2005-06-27,36.99,37.9,1,B,1,0.653448276,0.0,0.0,0,0,361.0
2005-06-28,51.89,14.95,1,B,1,0.498333333,0.0,0.0,0,0,395.0
2005-06-29,26.29,74.9,1,A,1,0.6513043479999999,0.0,0.0,0,0,327.0
2005-06-30,29.82,29.9,1,A,1,0.636170213,0.0,0.0,0,0,340.0
2005-01-07,12.29,99.0,1,A,1,0.634615385,0.0,0.0,0,0,251.0
2005-02-07,23.79,35.9,1,A,1,0.641071429,0.0,0.0,0,0,317.0
2005-03-07,20.1,119.0,1,A,1,0.626315789,0.0,0.0,0,0,300.0
2005-04-07,56.04,16.4,2,B,1,0.686206897,0.444827586,0.305243757,0,0,403.0
2005-05-07,57.69,41.9,1,B,1,0.6546875,0.0,0.0,0,0,406.0
2005-06-07,83.09,18.4,2,C,1,0.6361111110000001,0.386111111,0.245609568,0,0,442.0
2005-07-07,14.8,99.9,1,A,1,0.6659999999999999,0.0,0.0,0,0,269.0
2005-08-07,5.48,110.0,1,A,1,0.696202532,0.0,0.0,0,0,170.0
2005-09-07,29.24,36.9,1,A,1,0.647368421,0.0,0.0,0,0,338.0
2005-10-07,16.76,82.9,1,A,1,0.552666667,0.0,0.0,0,0,282.0
2005-11-07,25.4,19.9,1,A,1,0.585294118,0.0,0.0,0,0,323.0
2005-12-07,94.04,25.9,1,C,1,0.47962963,0.0,0.0,0,0,454.0
2005-07-13,29.33,39.9,1,A,1,0.643548387,0.0,0.0,0,0,338.0
2005-07-14,24.58,32.9,1,A,0,0.40121951200000006,0.40121951200000006,0.0,1,0,320.0
2005-07-15,13.15,99.9,1,A,1,0.657236842,0.0,0.0,0,0,258.0
2005-07-16,26.36,32.9,1,A,1,0.632692308,0.0,0.0,0,0,327.0
2005-07-17,30.45,41.9,1,A,1,0.6546875,0.0,0.0,0,0,342.0
2005-07-18,45.01,38.9,1,B,1,0.648333333,0.0,0.0,0,0,381.0
2005-07-19,26.83,34.9,1,A,1,0.6232142860000001,0.0,0.0,0,0,329.0
2005-07-20,74.22,66.0,2,C,1,0.592142857,0.351071429,0.20788443899999998,0,0,431.0
2005-07-21,33.36,46.9,1,B,1,0.651388889,0.0,0.0,0,0,351.0
2005-07-22,20.37,44.9,1,A,1,0.6602941179999999,0.0,0.0,0,0,301.0
2005-07-23,47.8,33.9,1,B,1,0.594736842,0.0,0.0,0,0,387.0
2005-07-24,51.28,19.9,1,B,1,0.4975,0.0,0.0,0,0,394.0
2005-07-25,71.82,16.9,1,C,1,0.497058824,0.0,0.0,0,0,427.0
2005-07-26,36.46,89.9,1,B,1,0.62,0.0,0.0,0,0,360.0
2005-07-27,171.27,36.4,2,A,1,0.575641026,0.35769230799999996,0.205902367,0,0,514.0
2005-07-28,109.63,29.9,1,D,1,0.498333333,0.0,0.0,0,0,470.0
2005-07-29,28.6,18.9,1,A,1,0.651724138,0.0,0.0,0,0,335.0
2005-07-30,32.19,44.9,1,B,1,0.56125,0.0,0.0,0,0,347.0
2005-07-31,186.5,33.4,2,B,1,0.543037975,0.302531646,0.16428617199999998,0,0,523.0
2005-01-08,60.07,35.4,2,B,1,0.587671233,0.382191781,0.224603115,0,0,410.0
2005-02-08,10.05,119.0,1,A,1,0.668539326,0.0,0.0,0,0,231.0
2005-03-08,52.33,38.9,2,B,2,0.595833333,0.0,0.0,0,0,396.0
2005-04-08,39.69,59.9,1,B,1,0.688505747,0.0,0.0,0,0,368.0
2005-05-08,6.4,119.0,1,A,1,0.7,0.0,0.0,0,0,186.0
2005-06-08,63.77,78.45,2,B,2,0.673469388,0.393877551,0.265264473,0,0,416.0
2005-07-08,115.68,29.9,1,D,1,0.515517241,0.0,0.0,0,0,475.0
2005-08-08,26.04,44.9,1,A,1,0.56125,0.0,0.0,0,0,326.0
2005-09-08,34.16,45.9,1,B,1,0.6375,0.0,0.0,0,0,353.0
2005-10-08,29.72,29.9,1,A,1,0.65,0.0,0.0,0,0,339.0
2005-11-08,161.25,51.4,2,A,1,0.546956522,0.34695652200000004,0.18977013199999998,0,0,508.0
2005-12-08,110.57,13.95,1,D,1,0.498214286,0.0,0.0,0,0,471.0
2005-08-13,69.56,16.9,1,B,1,0.625925926,0.0,0.0,0,0,424.0
2005-08-14,4.9,125.0,1,A,1,0.702247191,0.0,0.0,0,0,159.0
2005-08-15,42.18,72.9,1,B,1,0.633913043,0.0,0.0,0,0,374.0
2005-08-16,17.8,43.9,1,A,1,0.585333333,0.0,0.0,0,0,288.0
2005-08-17,27.0,34.9,1,A,1,0.646296296,0.0,0.0,0,0,330.0
2005-08-18,137.78,29.9,2,D,1,0.647368421,0.401754386,0.260083102,0,0,493.0
2005-08-19,24.12,75.9,1,A,1,0.798947368,0.0,0.0,0,0,318.0
2005-08-20,27.91,36.9,1,A,1,0.505479452,0.0,0.0,0,0,333.0
2005-08-21,124.33,39.9,1,D,1,0.49875,0.0,0.0,0,0,482.0
2005-08-22,15.87,39.9,1,A,1,0.665,0.0,0.0,0,0,276.0
2005-08-23,32.77,89.9,1,B,1,0.599333333,0.0,0.0,0,0,349.0
2005-08-24,7.14,96.0,1,A,1,0.6315789470000001,0.0,0.0,0,0,197.0
2005-08-25,115.29,43.0,2,D,2,0.665384615,0.0,0.0,0,0,475.0
2005-08-26,19.29,51.0,1,A,1,0.5,0.0,0.0,0,0,296.0
2005-08-27,34.03,34.9,1,B,1,0.6122807020000001,0.0,0.0,0,0,353.0
2005-08-28,3.74,110.0,1,A,1,0.696202532,0.0,0.0,0,0,132.0
2005-08-29,17.5,39.9,1,A,1,0.57,0.0,0.0,0,0,287.0
2005-08-30,9.33,53.9,1,A,1,0.64939759,0.0,0.0,0,0,223.0
2005-08-31,39.52,17.0,3,B,3,0.686206897,0.0,0.0,0,0,368.0
2005-01-09,14.35,119.9,1,A,1,0.788815789,0.0,0.0,0,0,266.0
2005-02-09,27.86,32.9,1,A,1,0.632692308,0.0,0.0,0,0,333.0
2005-03-09,14.7,63.0,1,A,1,0.6176470589999999,0.0,0.0,0,0,269.0
2005-04-09,130.04,13.9,2,D,1,0.6035714289999999,0.389285714,0.234961735,0,0,487.0
2005-05-09,45.77,76.4,2,B,1,0.6659999999999999,0.35266666700000004,0.23487600000000003,0,0,382.0
2005-06-09,30.8,89.9,2,A,1,0.673595506,0.336516854,0.22667624,0,0,343.0
2005-07-09,24.45,44.9,1,A,1,0.615068493,0.0,0.0,0,0,320.0
2005-08-09,77.4,12.4,2,C,1,0.5321428570000001,0.353571429,0.18815051,0,0,435.0
2005-09-09,15.52,49.9,1,A,1,0.665333333,0.0,0.0,0,0,274.0
2005-10-09,9.49,74.0,1,A,1,0.649122807,0.0,0.0,0,0,225.0
2005-11-09,51.0,14.95,1,B,1,0.45303030299999997,0.0,0.0,0,0,393.0
2005-12-09,33.87,48.9,1,B,1,0.652,0.0,0.0,0,0,352.0
2005-09-13,168.14,36.9,1,A,1,0.45,0.0,0.0,0,0,512.0
2005-09-14,28.3,51.0,1,A,1,0.5,0.0,0.0,0,0,334.0
2005-09-15,77.01,14.9,2,C,1,0.651724138,0.37586206899999997,0.244958383,0,0,434.0
2005-09-16,98.43,16.9,1,C,1,0.46944444399999996,0.0,0.0,0,0,459.0
2005-09-17,64.14,36.0,2,B,2,0.66,0.0,0.0,0,0,416.0
2005-09-18,15.13,63.0,1,A,1,0.6176470589999999,0.0,0.0,0,0,272.0
2005-09-19,117.81,12.9,1,D,1,0.477777778,0.0,0.0,0,0,477.0
2005-09-20,52.75,65.9,2,B,1,0.532666667,0.34600000000000003,0.184302667,0,0,397.0
2005-09-21,34.4,85.9,1,B,1,0.592413793,0.0,0.0,0,0,354.0
2005-09-22,97.4,29.9,1,C,1,0.524561404,0.0,0.0,0,0,458.0
2005-09-23,20.1,45.9,1,A,1,0.6039473679999999,0.0,0.0,0,0,300.0
2005-09-24,17.09,94.9,1,A,1,0.65,0.0,0.0,0,0,284.0
2005-09-25,24.35,36.9,1,A,1,0.647368421,0.0,0.0,0,0,319.0
2005-09-26,19.8,44.9,1,A,1,0.6602941179999999,0.0,0.0,0,0,299.0
2005-09-27,41.42,62.9,1,B,1,0.546956522,0.0,0.0,0,0,372.0
2005-09-28,6.63,124.0,1,A,1,0.696629213,0.0,0.0,0,0,189.0
2005-09-29,31.46,32.9,1,A,1,0.632692308,0.0,0.0,0,0,345.0
2005-09-30,28.02,29.9,1,A,1,0.636170213,0.0,0.0,0,0,333.0
2005-01-10,15.91,52.9,1,A,1,0.645121951,0.0,0.0,0,0,277.0
2005-02-10,105.7,29.9,2,D,1,0.636206897,0.394827586,0.251192033,0,0,466.0
2005-03-10,98.16,35.0,2,C,2,0.5676923079999999,0.0,0.0,0,0,459.0
2005-04-10,40.19,36.9,1,B,1,0.647368421,0.0,0.0,0,0,369.0
2005-05-10,38.2,62.9,1,B,1,0.546956522,0.0,0.0,0,0,364.0
2005-06-10,143.09,12.9,1,A,1,0.477777778,0.0,0.0,0,0,496.0
2005-07-10,12.37,79.9,1,A,1,0.547260274,0.0,0.0,0,0,252.0
2005-08-10,33.96,92.4,2,B,1,0.658791209,0.35659340700000003,0.234920601,0,0,353.0
2005-09-10,9.64,110.0,1,A,1,0.696202532,0.0,0.0,0,0,227.0
2005-10-10,102.15,29.4,2,D,1,0.608474576,0.38813559299999995,0.23617064100000001,0,0,463.0
2005-11-10,87.45,16.9,1,C,1,0.46944444399999996,0.0,0.0,0,0,447.0
2005-12-10,21.35,25.9,1,A,1,0.563043478,0.0,0.0,0,0,306.0
2005-10-13,40.78,79.0,1,B,1,0.49375,0.0,0.0,0,0,371.0
2005-10-14,37.18,75.0,1,B,1,0.510204082,0.0,0.0,0,0,362.0
2005-10-15,11.62,49.9,1,A,1,0.594047619,0.0,0.0,0,0,245.0
2005-10-16,113.49,14.9,1,D,1,0.5137931029999999,0.0,0.0,0,0,473.0
2005-10-17,23.6,51.9,1,A,1,0.656962025,0.0,0.0,0,0,316.0
2005-10-18,12.73,21.9,1,A,1,0.6441176470000001,0.0,0.0,0,0,254.0
2005-10-19,9.85,49.0,1,A,1,0.7,0.0,0.0,0,0,229.0
2005-10-20,49.32,19.9,1,B,1,0.585294118,0.0,0.0,0,0,390.0
2005-10-21,62.94,25.9,1,B,1,0.588636364,0.0,0.0,0,0,414.0
2005-10-22,162.48,15.9,1,A,1,0.454285714,0.0,0.0,0,0,509.0
2005-10-23,26.1,77.9,1,A,1,0.649166667,0.0,0.0,0,0,326.0
2005-10-24,34.9,74.9,1,B,1,0.6513043479999999,0.0,0.0,0,0,355.0
2005-10-25,109.05,28.9,1,D,1,0.498275862,0.0,0.0,0,0,469.0
2005-10-26,26.9,44.9,1,A,1,0.623611111,0.0,0.0,0,0,329.0
2005-10-27,34.5,69.9,1,B,1,0.735789474,0.0,0.0,0,0,354.0
2005-10-28,39.64,37.5,1,B,1,0.5,0.0,0.0,0,0,368.0
2005-10-29,28.0,42.9,1,A,1,0.595833333,0.0,0.0,0,0,333.0
2005-10-30,39.19,63.95,2,B,1,0.7008547009999999,0.39230769200000004,0.27495069,0,0,367.0
2005-10-31,157.49,24.9,2,A,1,0.515517241,0.343103448,0.176875743,0,0,506.0
2005-01-11,22.14,89.0,1,A,1,0.5,0.0,0.0,0,0,310.0
2005-02-11,11.4,114.0,1,A,1,0.686746988,0.0,0.0,0,0,243.0
2005-03-11,17.32,52.9,1,A,1,0.645121951,0.0,0.0,0,0,285.0
2005-04-11,38.39,96.95,2,B,1,0.696629213,0.39269662899999996,0.273563944,0,0,365.0
2005-05-11,14.56,37.9,1,A,1,0.642372881,0.0,0.0,0,0,268.0
2005-06-11,99.76,65.9,2,C,1,0.547260274,0.35547945200000003,0.194539782,0,0,460.0
