N_Transaccion,Codigo_Producto,Descripcion,Cantidad,Fecha_Hora,Precio_Unitario,ID_Cliente,Pais
536381,22774,MANDO DE CAJON ROJO EDWARDIAN ACRILICO,24,01/12/2010 09:41,1.25,15311,USA
536381,22771,BOTON CAJON CLARO EDWARDIAN ACRILICO,24,01/12/2010 09:41,1.25,15311,USA
536381,71270,FOTO CLIP LINE,1,01/12/2010 09:41,1.25,15311,USA
536381,22262,SENTI EL HUEVO POLLO ACOGEDOR,1,01/12/2010 09:41,0.85,15311,USA
536381,22637,RETROSPOT DE PIGGY BANK,1,01/12/2010 09:41,2.55,15311,USA
536381,21934,BOLSO DE HOMBRO DE CRANEO,10,01/12/2010 09:41,1.65,15311,USA
536381,21169,ME ESTAS CONFUNDIENDO SIGNO DE METAL,3,01/12/2010 09:41,1.69,15311,USA
536381,21166,COCINAR CON SIGNO DE METAL DE VINO,1,01/12/2010 09:41,1.95,15311,USA
536381,21175,GIN + TONIC DIET METAL SIGN,2,01/12/2010 09:41,2.1,15311,USA
536381,37444A,TAZA Y PLATO DE DESAYUNO AMARILLO,1,01/12/2010 09:41,2.95,15311,USA
536381,37444C,TAZA Y PLATO DE DESAYUNO ROSADO,1,01/12/2010 09:41,2.95,15311,USA
536381,22086,KIT DE CADENA DE PAPEL 50'S NAVIDAD,4,01/12/2010 09:41,2.95,15311,USA
536381,22083,KIT DE CADENA DE PAPEL RETROSPOT,1,01/12/2010 09:41,2.95,15311,USA
536381,84971S,GANCHO FLORES PEQUENAS,6,01/12/2010 09:41,0.85,15311,USA
536381,71270,FOTO CLIP LINE,3,01/12/2010 09:41,1.25,15311,USA
536381,47580,TEA TIME DES TEA ACOGEDOR,2,01/12/2010 09:41,2.55,15311,USA
536381,22261,SENTIA HUEVO CONEJO BLANCO ACOGEDOR,1,01/12/2010 09:41,0.85,15311,USA
536381,84832,VARILLA ZINC WILLIE WINKIE STICK,1,01/12/2010 09:41,0.85,15311,USA
536381,22644,CEREZA CEREZA TORTA BANCO DE DINERO,1,01/12/2010 09:41,1.45,15311,USA
536381,21533,TARRO GRANDE DE LECHE RETROSPOT,1,01/12/2010 09:41,4.95,15311,USA
536381,21557,JUEGO DE 6 TABLEROS FUNKY,2,01/12/2010 09:41,2.95,15311,USA
536381,15056BL,PARASOL EDWARDIAN NEGRO,2,01/12/2010 09:41,5.95,15311,USA
536381,15056N,PARASOL EDWARDIAN NATURAL,2,01/12/2010 09:41,5.95,15311,USA
536381,22646,TARTA DE FRESA CERAMICA BANCO DE DINERO,4,01/12/2010 09:41,1.45,15311,USA
536381,22176,JUGUETE SUAVE BUHO AZUL,1,01/12/2010 09:41,2.95,15311,USA
536381,22438,EL ARTE EN GLOBO HACE TUS PROPIAS FLORES,1,01/12/2010 09:41,1.95,15311,USA
536381,21731,TOADSTOOL ROJO LED LUZ NOCTURNA,2,01/12/2010 09:41,1.65,15311,USA
536381,22778,RELOJ DE CRISTAL PEQUENO,3,01/12/2010 09:41,3.95,15311,USA
536381,22719,RACK DE ABRIGO MONOCROMO DE GUMBALL,36,01/12/2010 09:41,1.06,15311,USA
536381,21523,DOORMAT FANCY FONT HOME SWEET HOME,10,01/12/2010 09:41,6.75,15311,USA
C536379,D,Descuento,-1,01/12/2010 09:41,27.5,14527,USA
536382,10002,GLOBO POLITICO INFLABLE,12,01/12/2010 09:45,0.85,16098,USA
536382,21912,SERPIENTES Y ESCALERAS VINTAGE,8,01/12/2010 09:45,3.75,16098,USA
536382,21832,CALCULADORA DE CHOCOLATE,12,01/12/2010 09:45,1.65,16098,USA
536382,22411,JUMBO SHOPPER VINTAGE ROJO PAISLEY,10,01/12/2010 09:45,1.95,16098,USA
536382,22379,BOLSA DE RECICLAJE RETROSPOT,10,01/12/2010 09:45,2.1,16098,USA
536382,22381,TOY TIDY PINK POLKADOT,50,01/12/2010 09:45,1.85,16098,USA
536382,22798,MESA DE VESTIR ANTIGUA CRISTAL,8,01/12/2010 09:45,2.95,16098,USA
536382,22726,RELOJ ALARMA VERDE BAKELIKE,4,01/12/2010 09:45,3.75,16098,USA
536382,22926,TERMOMETRO DE JARDIN GIGANTE DE MARFIL,12,01/12/2010 09:45,5.95,16098,USA
536382,22839,PASTEL DE 3 NIVELES DE ESTANO VERDE Y CREMA,2,01/12/2010 09:45,14.95,16098,USA
536382,22838,PASTEL DE 3 NIVELES ROJO Y CREMA,2,01/12/2010 09:45,14.95,16098,USA
536382,22783,SET 3 CESTA OVALADA DE MIMBRE CON TAPA,4,01/12/2010 09:45,16.95,16098,USA
C536383,35004C,CONJUNTO DE 3 PATOS VOLADORES COLOREADOS,-1,01/12/2010 09:49,4.65,15311,USA
536384,82484,TABLERO NEGRO MADERA Y ACABADO BLANCO,3,01/12/2010 09:53,6.45,18074,USA
536384,84755,COLOR VIDRIO T-LIGHT SOPORTE COLGANTE,48,01/12/2010 09:53,0.65,18074,USA
536384,22464,LINTERNA CORAZON METAL COLGANTE,12,01/12/2010 09:53,1.65,18074,USA
536384,21324,COLGANTE LINTERNA MEDINA PEQUENA,6,01/12/2010 09:53,2.95,18074,USA
536384,22457,PIZARRA NATURAL PIZARRA PIZARRA,12,01/12/2010 09:53,2.95,18074,USA
536384,22469,CORAZON DE MIMBRE PEQUENO,40,01/12/2010 09:53,1.45,18074,USA
536384,22470,CORAZON DE MIMBRE GRANDE,40,01/12/2010 09:53,2.55,18074,USA
536384,22224,LINTERNA BLANCA LOVEBIRD,6,01/12/2010 09:53,2.95,18074,USA
536384,21340,TITULAR DE PLANTAS METALICAS CLASICAS,2,01/12/2010 09:53,12.75,18074,USA
536384,22189,PORTA TARJETA CREMA CORAZON,4,01/12/2010 09:53,3.95,18074,USA
536384,22427,CREMA JARRA FLOR ESMALTE,3,01/12/2010 09:53,5.95,18074,USA
536384,22428,CREMA DE CUBO DE FUEGO DE ESMALTE,6,01/12/2010 09:53,6.95,18074,USA
536384,22424,CREMA DE BANDEJA DE PAN DE ESMALTE,8,01/12/2010 09:53,10.95,18074,USA
536385,22783,SET 3 CESTA OVALADA DE MIMBRE CON TAPA,1,01/12/2010 09:56,19.95,17420,USA
536385,22961,JUEGO PARA HACER JAMAS IMPRESO,12,01/12/2010 09:56,1.45,17420,USA
536385,22960,JUEGO PARA JAMON CON JARRAS,6,01/12/2010 09:56,4.25,17420,USA
536385,22663,DISENO JUMBO BOLSO DOLLY CHICA,10,01/12/2010 09:56,1.95,17420,USA
536385,85049A,CINTA TRADICIONAL DE NAVIDAD,12,01/12/2010 09:56,1.25,17420,USA
536385,22168,ORGANIZADOR MADERA BLANCO ANTIGUO,2,01/12/2010 09:56,8.5,17420,USA
536385,22662,BOLSA DE ALMUERZO DISENO DE DOLLY CHICA,10,01/12/2010 09:56,1.65,17420,USA
536386,84880,SOPORTE DE HUEVO DE ALAMBRE BLANCO,36,01/12/2010 09:57,4.95,16029,USA
536386,85099C,BOLSO JUMBO BARROCO NEGRO BLANCO,100,01/12/2010 09:57,1.65,16029,USA
536386,85099B,BOLSO JUMBO RETROSPOT ROJO,100,01/12/2010 09:57,1.65,16029,USA
536387,79321,LUCES DE CHILE,192,01/12/2010 09:58,3.82,16029,USA
536387,22780,MARIPOSA LIGERA MARIPOSA ROSA,192,01/12/2010 09:58,3.37,16029,USA
536387,22779,BUENOS DE MADERA LUZ GUIRNALDA,192,01/12/2010 09:58,3.37,16029,USA
536387,22466,LUZ NOCTURNA DE CUARTA DE HABITACIONES,432,01/12/2010 09:58,1.45,16029,USA
536387,21731,TOADSTOOL ROJO LED LUZ NOCTURNA,432,01/12/2010 09:58,1.25,16029,USA
536388,21754,PALABRA DE BLOQUE DE CONSTRUCCION,3,01/12/2010 09:59,5.95,16250,USA
536388,21755,PALABRA DE BLOQUE DE CONSTRUCCION DE AMOR,3,01/12/2010 09:59,5.95,16250,USA
536388,21523,DOORMAT FANCY FONT HOME SWEET HOME,2,01/12/2010 09:59,7.95,16250,USA
536388,21363,INICIO CARTAS DE MADERA PEQUENA,3,01/12/2010 09:59,4.95,16250,USA
536388,21411,GINGHAM HEART STOP STOP ROJO,3,01/12/2010 09:59,4.25,16250,USA
536388,22318,CINCO DECORACION COLGANTE CORAZON,6,01/12/2010 09:59,2.95,16250,USA
536388,22464,LINTERNA CORAZON METAL COLGANTE,12,01/12/2010 09:59,1.65,16250,USA
536388,22915,IMANES SUPERIORES DE BOTELLAS,12,01/12/2010 09:59,0.42,16250,USA
536388,22922,IMANES DE FRIGORIFICO COMEDOR SURTIDO,12,01/12/2010 09:59,0.85,16250,USA
536388,22969,JAMON CASERO VELAS PERFUMADAS,12,01/12/2010 09:59,1.45,16250,USA
536388,22923,IMANES DE FRIGORIAS LES ENFANTS SURTIDOS,12,01/12/2010 09:59,0.85,16250,USA
536388,21115,PUERTA ROSA CARAVANA,4,01/12/2010 09:59,6.75,16250,USA
536388,22469,CORAZON DE MIMBRE PEQUENO,12,01/12/2010 09:59,1.65,16250,USA
536388,22242,5 HANGER HANGER MAGIC TOADSTOOL,12,01/12/2010 09:59,1.65,16250,USA
536389,22941,LUCES DE NAVIDAD 10 RENOS,6,01/12/2010 10:03,8.5,12431,Australia
536389,21622,COJIN VINTAGE UNION JACK COJIN,8,01/12/2010 10:03,4.95,12431,Australia
536389,21791,JUEGO DE TARJETAS VINTAGE HEADS Y TAILS,12,01/12/2010 10:03,1.25,12431,Australia
536389,35004C,CONJUNTO DE 3 PATOS VOLADORES COLOREADOS,6,01/12/2010 10:03,5.45,12431,Australia
536389,35004G,JUEGO DE 3 PATOS VOLADORES ORO,4,01/12/2010 10:03,6.35,12431,Australia
536389,85014B,PARAGUAS RETROSPOT ROJO,6,01/12/2010 10:03,5.95,12431,Australia
536389,85014A,PARAGUAS NEGRO / AZUL POLKADOT,3,01/12/2010 10:03,5.95,12431,Australia
536389,22193,RELOJ DE PARED RED DINER,2,01/12/2010 10:03,8.5,12431,Australia
536389,22726,RELOJ ALARMA VERDE BAKELIKE,4,01/12/2010 10:03,3.75,12431,Australia
536389,22727,RELOJ ALARMA BAKELIKE RED,4,01/12/2010 10:03,3.75,12431,Australia
536389,22192,RELOJ DE PARED AZUL,2,01/12/2010 10:03,8.5,12431,Australia
536389,22191,RELOJ DE PARED DE COMEDOR DE MARFIL,2,01/12/2010 10:03,8.5,12431,Australia
536389,22195,GRANDES CUCHARAS PARA MEDIR EL CORAZON,24,01/12/2010 10:03,1.65,12431,Australia
536389,22196,CUCHARAS DE MEDICION CORAZON PEQUENO,24,01/12/2010 10:03,0.85,12431,Australia
536390,22941,LUCES DE NAVIDAD 10 RENOS,2,01/12/2010 10:19,8.5,17511,USA
536390,22960,JUEGO PARA JAMON CON JARRAS,12,01/12/2010 10:19,3.75,17511,USA
536390,22961,JUEGO PARA HACER JAMAS IMPRESO,12,01/12/2010 10:19,1.45,17511,USA
536390,22962,JARRA CON TAPA ROSA,48,01/12/2010 10:19,0.72,17511,USA
536390,22963,JARRA CON TAPA VERDE,48,01/12/2010 10:19,0.72,17511,USA
536390,22968,ROSE COTTAGE KEEPSAKE BOX,8,01/12/2010 10:19,8.5,17511,USA
536390,84970S,SOPORTE PARA LA LUZ EN T DE ZINC CORAZON COLGANTE,144,01/12/2010 10:19,0.64,17511,USA
536390,22910,KIT DE CADENA DE PAPEL NAVIDAD VINTAGE,40,01/12/2010 10:19,2.55,17511,USA
536390,20668,DISCO BALL DECORACION DE NAVIDAD,288,01/12/2010 10:19,0.1,17511,USA
536390,85123A,SOPORTE DE LUZ EN T CORAZON COLGANTE BLANCO,64,01/12/2010 10:19,2.55,17511,USA
536390,22197,PequeNo titular de palomitas de maIz,100,01/12/2010 10:19,0.72,17511,USA
536390,22198,GRAN TITULAR DE PALOMITAS,50,01/12/2010 10:19,1.45,17511,USA
536390,21533,TARRO GRANDE DE LECHE RETROSPOT,12,01/12/2010 10:19,4.25,17511,USA
536390,21080,SET / 20 SERVILLETAS DE PAPEL RETROSPOT ROJO,96,01/12/2010 10:19,0.64,17511,USA
536390,21094,SET / 6 PLACAS DE PAPEL ROJO,96,01/12/2010 10:19,0.64,17511,USA
536390,21086,SET / 6 TAZAS DE PAPEL ROJO,48,01/12/2010 10:19,0.65,17511,USA
536390,21786,SOMBRERO DE LLUVIA DE POLKADOT,144,01/12/2010 10:19,0.32,17511,USA
536390,22654,KIT DE COSER DE LUJO,40,01/12/2010 10:19,4.95,17511,USA
536390,21485,BOTELLA DE AGUA CALIENTE CORAZON RETROSPOT,24,01/12/2010 10:19,4.25,17511,USA
536390,84029G,BOTELLA DE AGUA CALIENTE DE BANDERA DE UNION,24,01/12/2010 10:19,3.39,17511,USA
536390,84030E,BOTELLA DE AGUA CALIENTE ROSA INGLESA,24,01/12/2010 10:19,3.75,17511,USA
536390,22174,CUBO FOTOGRAFICO,48,01/12/2010 10:19,1.48,17511,USA
536390,22969,JAMON CASERO VELAS PERFUMADAS,96,01/12/2010 10:19,1.25,17511,USA
536390,85099B,BOLSO JUMBO RETROSPOT ROJO,100,01/12/2010 10:19,1.65,17511,USA
C536391,22556,Yesos en estaNo circo desfile,-12,01/12/2010 10:24,1.65,17548,USA
C536391,21984,PAQUETE DE 12 TEJIDOS PAISLEY ROSADOS,-24,01/12/2010 10:24,0.29,17548,USA
C536391,21983,PAQUETE DE 12 TEJIDOS PAISLEY AZUL,-24,01/12/2010 10:24,0.29,17548,USA
C536391,21980,PAQUETE DE 12 TEJIDOS RETROSPOT ROJOS,-24,01/12/2010 10:24,0.29,17548,USA
C536391,21484,POLLO GRIS BOTELLA DE AGUA CALIENTE,-12,01/12/2010 10:24,3.45,17548,USA
C536391,22557,YESOS EN TIN VINTAGE PAISLEY,-12,01/12/2010 10:24,1.65,17548,USA
C536391,22553,YESOS EN CRANEOS DE HOJALATA,-24,01/12/2010 10:24,1.65,17548,USA
536392,22150,FELTCRAFT DE 3 RAYOS DE RAYAS,6,01/12/2010 10:29,1.95,13705,USA
536392,22619,JUEGO DE 6 BOLETOS DE SOLDADO,4,01/12/2010 10:29,3.75,13705,USA
536392,21891,CUERDA DE SALTO DE MADERA TRADICIONAL,12,01/12/2010 10:29,1.25,13705,USA
536392,21889,CAJA DE DOMINO DE MADERA,12,01/12/2010 10:29,1.25,13705,USA
536392,22827,APARADOR RUSTICO DE 17 CAJONES,1,01/12/2010 10:29,165,13705,USA
536392,22127,FIESTA CONOS CARNAVAL SURTIDO,12,01/12/2010 10:29,1.25,13705,USA
536392,22128,FIESTA CONOS CARAMELO SURTIDO,12,01/12/2010 10:29,1.25,13705,USA
536392,22502,CESTA PICNIC MIMBRE PEQUENA,4,01/12/2010 10:29,5.95,13705,USA
536392,84879,ORNAMENTO DE AVES DE COLOR SURTIDO,16,01/12/2010 10:29,1.69,13705,USA
536392,22338,ZINC PINTADO DECORACION ESTRELLA,24,01/12/2010 10:29,0.65,13705,USA
536393,22180,LAMPARA RETROSPOT,8,01/12/2010 10:37,9.95,13747,USA
536394,21506,"TARJETA DE CUMPLEANOS FANCY FONT,",24,01/12/2010 10:39,0.42,13408,USA
536394,22633,JACK CALENTADOR DE MANOS,96,01/12/2010 10:39,1.85,13408,USA
536394,22866,DISENO SCOTTY PERRO CALENTADOR DE MANOS,96,01/12/2010 10:39,1.85,13408,USA
536394,22865,DISENO DE BUHO CALENTADOR DE MANOS,96,01/12/2010 10:39,1.85,13408,USA
536394,22632,CALENTADOR DE MANOS RETROSPOT ROJO,96,01/12/2010 10:39,1.85,13408,USA
536394,21485,BOTELLA DE AGUA CALIENTE CORAZON RETROSPOT,12,01/12/2010 10:39,4.95,13408,USA
